id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ping
278,4.28,4.676,11.32,3.339,,,,,,,,,,,,,10.804
279,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.65
280,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.025
281,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.966
282,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.621
283,4.28,4.676,11.32,3.339,,,,,,,,,,,,,22.268
284,4.28,4.675,11.32,3.339,,,,,,,,,,,,,15.073
285,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.119
286,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.605
287,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.624
288,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.016
291,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.011
292,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.185
293,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.244
294,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.181
295,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.498
296,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.019
297,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.877
299,4.28,4.675,11.32,3.339,,,,,,,,,,,,,23.32
300,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.64
301,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.945
302,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.989
303,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.935
304,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.973
305,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.974
306,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.981
307,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.326
308,4.28,4.675,11.32,3.339,,,,,,,,,,,,,77.664
309,4.28,4.676,11.32,3.339,,,,,,,,,,,,,4.078
310,4.28,4.676,11.32,3.339,,,,,,,,,,,,,1.228
311,4.28,4.675,11.32,3.339,,,,,,,,,,,,,0.684
312,4.28,4.675,11.32,3.339,,,,,,,,,,,,,16.066
313,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.989
314,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.476
315,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.468
318,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.634
319,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.012
320,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.002
321,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.032
322,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.062
323,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.981
324,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.204
325,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.731
326,4.28,4.676,11.32,3.339,,,,,,,,,,,,,23.836
327,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.406
329,4.28,4.676,11.32,3.339,,,,,,,,,,,,,25.364
332,4.28,4.676,11.32,3.339,,,,,,,,,,,,,12.534
333,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.236
334,4.28,4.675,11.32,3.339,,,,,,,,,,,,,23.937
335,4.28,4.675,11.32,3.339,,,,,,,,,,,,,32.274
336,4.28,4.676,11.32,3.339,,,,,,,,,,,,,3.803
337,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.764
338,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.756
340,4.28,4.676,11.32,3.339,,,,,,,,,,,,,55.359
341,4.28,4.675,11.32,3.339,,,,,,,,,,,,,3.783
342,4.28,4.675,11.32,3.339,,,,,,,,,,,,,4.68
344,4.28,4.676,11.32,3.339,,,,,,,,,,,,,25.105
345,4.28,4.676,11.32,3.339,,,,,,,,,,,,,14.693
346,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.084
347,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.961
348,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.598
349,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.345
350,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.003
351,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.111
352,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.319
353,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.481
354,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.949
355,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.222
356,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.021
357,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.9
358,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.09
359,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.403
360,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.7
361,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.783
362,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.925
363,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.238
364,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.271
365,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.793
366,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.814
367,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.952
368,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.247
369,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.699
370,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.209
371,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.988
372,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.958
373,4.28,4.676,11.32,3.339,,,,,,,,,,,,,53.993
374,4.28,4.676,11.32,3.339,,,,,,,,,,,,,4.009
376,4.28,4.675,11.32,3.339,,,,,,,,,,,,,17.889
377,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.014
378,4.28,4.675,11.32,3.339,,,,,,,,,,,,,32.571
379,4.28,4.676,11.32,3.339,,,,,,,,,,,,,7.825
382,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.765
383,4.28,4.676,11.32,3.339,,,,,,,,,,,,,24.152
384,4.28,4.675,11.32,3.339,,,,,,,,,,,,,16.253
386,4.28,4.676,11.32,3.339,,,,,,,,,,,,,24.943
387,4.28,4.675,11.32,3.339,,,,,,,,,,,,,15.177
388,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.022
390,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.759
391,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.178
392,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.957
393,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.751
394,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.198
395,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.345
396,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.849
397,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.297
398,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.656
399,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.483
400,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.742
401,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.022
403,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.809
404,4.28,4.675,11.32,3.339,,,,,,,,,,,,,48.32
405,4.28,4.676,11.32,3.339,,,,,,,,,,,,,3.956
406,4.28,4.676,11.32,3.339,,,,,,,,,,,,,6.915
407,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.847
408,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.937
409,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.025
410,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.129
411,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.005
412,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.997
413,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.186
414,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.269
415,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.431
416,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.073
417,4.28,4.676,11.32,3.339,,,,,,,,,,,,,22.203
418,4.28,4.675,11.32,3.339,,,,,,,,,,,,,17.643
419,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.508
422,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.397
423,4.28,4.675,11.32,3.339,,,,,,,,,,,,,23.164
424,4.28,4.675,11.32,3.339,,,,,,,,,,,,,16.885
425,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.7
426,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.887
427,4.28,4.675,11.32,3.339,,,,,,,,,,,,,22.391
428,4.28,4.675,11.32,3.339,,,,,,,,,,,,,22.63
429,4.28,4.676,11.32,3.339,,,,,,,,,,,,,14.264
430,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.957
431,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.723
432,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.888
433,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.078
434,4.28,4.675,11.32,3.339,,,,,,,,,,,,,27.597
435,4.28,4.675,11.32,3.339,,,,,,,,,,,,,12.501
437,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.718
438,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.02
443,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.234
447,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.961
448,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.01
449,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.525
450,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.867
452,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.44
453,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.933
